"","score","isHighRisk"
"GSM51137",0.186978412797855,0
"GSM51138",0.383859916023787,0
"GSM51139",-0.232803873730521,0
"GSM51140",-1.19236412994003,0
"GSM51141",0.100600254789275,0
"GSM51142",1.1226575757734,1
"GSM51143",0.347635838220369,0
"GSM51144",-0.413245236746367,0
"GSM51145",-0.318426648867799,0
"GSM51146",0.363649188626331,0
"GSM51147",-0.559832951879091,0
"GSM51148",0.569574192215256,0
"GSM51149",0.00655762980304094,0
"GSM51150",0.209552095926305,0
"GSM51151",2.36445982327966,1
"GSM51152",-0.0902937589342948,0
"GSM51153",0.439433770169298,0
"GSM51154",0.735708821171574,0
"GSM51155",0.0317560035805909,0
"GSM51156",0.252243838665248,0
"GSM51157",0.591219613004681,0
"GSM51158",-0.482953200767465,0
"GSM51159",-0.530900215875546,0
"GSM51160",1.39387264402609,1
"GSM51161",0.080959788038927,0
"GSM51162",0.18476304986192,0
"GSM51163",0.826359740451717,0
"GSM51164",0.690170929364191,0
"GSM51165",1.77109715250098,1
"GSM51166",1.79036764332249,1
"GSM51167",-0.499150809539393,0
"GSM51168",-0.762877140907685,0
"GSM51169",0.737207164773964,0
"GSM51170",0.00456786720686185,0
"GSM51171",-0.390597392429055,0
"GSM51172",0.183188433037296,0
"GSM51173",0.288041118308198,0
"GSM51174",-0.765598727135825,0
"GSM51175",0.0245842336554834,0
"GSM51176",-0.345386294831563,0
"GSM51177",-0.920639057823563,0
"GSM51178",-0.707467958354032,0
"GSM51179",-0.513660713667939,0
"GSM51180",-1.51105335166031,0
"GSM51181",-0.00720932768251279,0
"GSM51182",-0.877923212922445,0
"GSM51183",-0.204301728805311,0
"GSM51184",0.287113931829622,0
"GSM51185",0.331128557749422,0
"GSM51186",-0.321314644313568,0
"GSM51187",0.781859145811389,0
"GSM51188",0.779597455184599,0
"GSM51189",-0.375909287844476,0
"GSM51190",1.50021040118475,1
"GSM51191",0.608518344579547,0
"GSM51192",-0.953678461239714,0
"GSM51193",0.0242604436624178,0
"GSM51194",0.651811417531232,0
"GSM51195",-0.331391562538042,0
"GSM51196",-0.618740993731778,0
"GSM51197",0.0266668440489613,0
"GSM51198",0.27800511147021,0
"GSM51199",2.74450426521931,1
"GSM51200",-1.03651159418965,0
"GSM51201",1.22548321360863,1
"GSM51202",1.15015183451329,1
"GSM51203",0.178896723196795,0
"GSM51204",-0.175895766004478,0
"GSM51205",-0.796434768407587,0
"GSM51206",-1.12172254986298,0
"GSM51207",-1.28062698810853,0
"GSM51208",-0.145688198268109,0
"GSM51209",-0.57650138400156,0
"GSM51210",0.0149181209347505,0
"GSM51211",1.08904335862528,1
"GSM51212",-0.617479479423466,0
"GSM51213",-0.794562462626602,0
"GSM51214",1.3560942261964,1
"GSM51215",-0.204585130950753,0
"GSM51216",1.13372865451361,1
"GSM51217",0.254396279078073,0
"GSM51218",0.0798703890110028,0
"GSM51219",1.56804931185678,1
"GSM51220",-0.659486288708679,0
"GSM51221",0.49396527721313,0
"GSM51222",-0.39385645524521,0
"GSM51223",1.25996844332878,1
"GSM51224",1.90292762438263,1
"GSM51225",0.267848761390824,0
"GSM51226",-0.228107051665316,0
"GSM51227",0.425025111598861,0
"GSM51228",2.05219793488654,1
"GSM51229",-1.23019942288108,0
"GSM51230",-1.03281996437215,0
"GSM51231",-0.149430600383366,0
"GSM51232",0.150170088027415,0
"GSM51233",0.369471554061474,0
"GSM51234",0.365821464920416,0
"GSM51235",-0.678901446303877,0
"GSM51236",-0.702046216173554,0
"GSM51237",-0.334794631018217,0
"GSM51238",-1.21940919153514,0
"GSM51239",-1.02824742797209,0
"GSM51240",0.0636406804042026,0
"GSM51241",-0.662505981257261,0
"GSM51242",0.465102133574931,0
"GSM51243",0.77021975507172,0
"GSM51244",0.728404586934615,0
"GSM51245",0.51167320502924,0
"GSM51246",3.08297618804114,1
"GSM51247",-0.0930937255105392,0
"GSM51248",-0.21270993685688,0
"GSM51249",-0.164279707213141,0
"GSM51250",-0.0697159443305706,0
"GSM51251",0.143420597746094,0
"GSM51252",0.628021123888176,0
"GSM51253",-0.304963728909245,0
"GSM51254",0.65157612777934,0
"GSM51255",-0.967766266541128,0
"GSM51256",-0.0102557001701967,0
"GSM51257",1.01006344216236,1
"GSM51258",1.28910378705658,1
"GSM51259",0.344499882062645,0
"GSM51260",-0.354398966841464,0
"GSM51261",-0.87246347735269,0
"GSM51262",-0.193042311870695,0
"GSM51263",0.247196995139277,0
"GSM51264",-1.21186545046276,0
"GSM51265",-0.193630067264261,0
"GSM51266",-0.721006594743104,0
"GSM51267",-1.32268251041011,0
"GSM51268",0.30872768609121,0
"GSM51269",1.58180885045123,1
"GSM51270",1.22871212992106,1
"GSM51271",-0.00186055077085385,0
"GSM51272",1.06793818408379,1
"GSM51273",1.29212283891246,1
"GSM51274",0.620588705162028,0
"GSM51275",-0.416065135316429,0
"GSM51276",-0.443354059175782,0
"GSM51277",0.848253642038412,1
"GSM51278",-0.585799386113592,0
"GSM51279",0.955461047117153,1
"GSM51280",-0.18867327401538,0
"GSM51281",-0.639802984638083,0
"GSM51282",-0.174493781257693,0
"GSM51283",0.134101172919513,0
"GSM51284",0.0385752237717608,0
"GSM51285",-1.03647703910395,0
"GSM51286",-0.199215854515452,0
"GSM51287",0.771462984851499,0
"GSM51288",-0.462532310515082,0
"GSM51289",0.653315084880717,0
"GSM51290",-0.62744237861172,0
"GSM51291",1.76026353910146,1
"GSM51292",0.445717678153063,0
"GSM51293",1.18536395145737,1
"GSM51294",0.114505825087799,0
"GSM51295",-0.605861153649149,0
"GSM51296",-0.535739802273003,0
"GSM51297",0.335930612333984,0
"GSM51298",2.26989408001117,1
"GSM51299",-0.893799423853685,0
"GSM51300",-1.06402608809707,0
"GSM51301",1.03748668069319,1
"GSM51302",-0.526248249685646,0
"GSM51303",1.19947255816354,1
"GSM51304",-0.359322170177268,0
"GSM51305",-0.92164078678526,0
"GSM51306",-0.136180045536164,0
"GSM51307",1.37029613113307,1
"GSM51308",0.570092724599958,0
